geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01139,1139,0,Total for all sectors,1139.0,"Springfield, MA",2016,2,c,D,D
8610000US01144,1144,0,Total for all sectors,1144.0,"Springfield, MA",2016,51,1098,23823,92530
8610000US01151,1151,0,Total for all sectors,1151.0,"Indian Orchard, MA",2016,144,1863,29730,117627
8610000US01152,1152,0,Total for all sectors,1152.0,"Springfield, MA",2016,2,a,D,D
8610000US01199,1199,0,Total for all sectors,1199.0,"Springfield, MA",2016,5,i,D,D
8610000US01201,1201,0,Total for all sectors,1201.0,"Pittsfield, MA",2016,1287,23749,303998,1238125
8610000US01202,1202,0,Total for all sectors,1202.0,"Pittsfield, MA",2016,33,356,7113,27672
8610000US01203,1203,0,Total for all sectors,1203.0,"Pittsfield, MA",2016,1,a,D,D
8610000US01220,1220,0,Total for all sectors,1220.0,"Adams, MA",2016,159,1549,14872,60506
8610000US01222,1222,0,Total for all sectors,1222.0,"Ashley Falls, MA",2016,17,42,377,1824
8610000US01223,1223,0,Total for all sectors,1223.0,"Becket, MA",2016,42,254,1991,12092
8610000US01224,1224,0,Total for all sectors,1224.0,"Berkshire, MA",2016,3,a,D,D
8610000US01225,1225,0,Total for all sectors,1225.0,"Cheshire, MA",2016,54,383,3370,16637
8610000US01226,1226,0,Total for all sectors,1226.0,"Dalton, MA",2016,122,1319,23023,73883
8610000US01227,1227,0,Total for all sectors,1227.0,"Dalton, MA",2016,5,54,347,1947
8610000US01229,1229,0,Total for all sectors,1229.0,"Glendale, MA",2016,3,11,128,824
8610000US01230,1230,0,Total for all sectors,1230.0,"Great Barrington, MA",2016,417,4839,43740,184770
8610000US01235,1235,0,Total for all sectors,1235.0,"Hinsdale, MA",2016,49,218,1375,7400
8610000US01236,1236,0,Total for all sectors,1236.0,"Housatonic, MA",2016,43,476,3792,16285
8610000US01237,1237,0,Total for all sectors,1237.0,"Lanesboro, MA",2016,123,1693,8913,34795
8610000US01238,1238,0,Total for all sectors,1238.0,"Lee, MA",2016,282,2971,22511,95936
8610000US01240,1240,0,Total for all sectors,1240.0,"Lenox, MA",2016,248,3444,24844,111885
8610000US01242,1242,0,Total for all sectors,1242.0,"Lenox Dale, MA",2016,17,128,943,4225
8610000US01243,1243,0,Total for all sectors,1243.0,"Middlefield, MA",2016,6,28,166,665
8610000US01244,1244,0,Total for all sectors,1244.0,"Mill River, MA",2016,3,b,D,D
8610000US01245,1245,0,Total for all sectors,1245.0,"Monterey, MA",2016,24,156,993,5054
8610000US01247,1247,0,Total for all sectors,1247.0,"North Adams, MA",2016,330,3843,30101,127350
8610000US01252,1252,0,Total for all sectors,1252.0,"North Egremont, MA",2016,4,5,48,296
8610000US01253,1253,0,Total for all sectors,1253.0,"Otis, MA",2016,33,133,690,3046
8610000US01254,1254,0,Total for all sectors,1254.0,"Richmond, MA",2016,30,73,474,2442
8610000US01255,1255,0,Total for all sectors,1255.0,"Sandisfield, MA",2016,20,117,939,4887
8610000US01256,1256,0,Total for all sectors,1256.0,"Savoy, MA",2016,5,14,166,695
8610000US01257,1257,0,Total for all sectors,1257.0,"Sheffield, MA",2016,110,1036,11407,49388
8610000US01258,1258,0,Total for all sectors,1258.0,"South Egremont, MA",2016,33,434,1846,6610
8610000US01259,1259,0,Total for all sectors,1259.0,"Southfield, MA",2016,25,82,577,3599
8610000US01260,1260,0,Total for all sectors,1260.0,"South Lee, MA",2016,12,523,6416,24978
