GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01561,01561,"ZIP 01561 (South Lancaster, MA)",00,Total for all sectors,2016,27,631,6591,25707
8610000US01562,01562,"ZIP 01562 (Spencer, MA)",00,Total for all sectors,2016,220,2927,31011,123151
8610000US01564,01564,"ZIP 01564 (Sterling, MA)",00,Total for all sectors,2016,195,2233,20530,93779
8610000US01566,01566,"ZIP 01566 (Sturbridge, MA)",00,Total for all sectors,2016,237,3611,25912,115456
8610000US01568,01568,"ZIP 01568 (Upton, MA)",00,Total for all sectors,2016,159,703,6210,30610
8610000US01569,01569,"ZIP 01569 (Uxbridge, MA)",00,Total for all sectors,2016,268,3628,39963,174855
8610000US01570,01570,"ZIP 01570 (Webster, MA)",00,Total for all sectors,2016,375,6489,68756,283514
8610000US01571,01571,"ZIP 01571 (Dudley, MA)",00,Total for all sectors,2016,161,2565,23119,102446
8610000US01581,01581,"ZIP 01581 (Westborough, MA)",00,Total for all sectors,2016,933,23998,406956,1649048
8610000US01583,01583,"ZIP 01583 (West Boylston, MA)",00,Total for all sectors,2016,240,2520,22055,100250
8610000US01585,01585,"ZIP 01585 (West Brookfield, MA)",00,Total for all sectors,2016,82,752,6375,27377
8610000US01588,01588,"ZIP 01588 (Whitinsville, MA)",00,Total for all sectors,2016,213,3244,29466,126691
8610000US01590,01590,"ZIP 01590 (Sutton, MA)",00,Total for all sectors,2016,152,1849,20208,88938
8610000US01601,01601,"ZIP 01601 (Worcester, MA)",00,Total for all sectors,2016,7,126,1576,6641
8610000US01602,01602,"ZIP 01602 (Worcester, MA)",00,Total for all sectors,2016,306,2832,22367,92209
8610000US01603,01603,"ZIP 01603 (Worcester, MA)",00,Total for all sectors,2016,410,7053,57333,246271
8610000US01604,01604,"ZIP 01604 (Worcester, MA)",00,Total for all sectors,2016,715,9819,83694,367117
8610000US01605,01605,"ZIP 01605 (Worcester, MA)",00,Total for all sectors,2016,591,23836,363012,1446449
8610000US01606,01606,"ZIP 01606 (Worcester, MA)",00,Total for all sectors,2016,454,10450,115713,485399
8610000US01607,01607,"ZIP 01607 (Worcester, MA)",00,Total for all sectors,2016,142,2914,25266,116150
8610000US01608,01608,"ZIP 01608 (Worcester, MA)",00,Total for all sectors,2016,525,13691,193194,777469
8610000US01609,01609,"ZIP 01609 (Worcester, MA)",00,Total for all sectors,2016,526,11351,95069,403501
8610000US01610,01610,"ZIP 01610 (Worcester, MA)",00,Total for all sectors,2016,365,9678,81226,349302
